GEOID,upper10th
170311001001,0.0
170311001002,0.0
170311001003,0.0
170311001004,0.0
170311001005,0.0
170311002001,0.0
170311002002,0.0
170311002003,0.0
170311002004,0.0
170311002005,0.0
170311002006,0.0
170311002007,0.0
170311003001,0.0
170311003002,0.0
170311003003,0.0
170311003004,0.0
170311003005,0.0
170311003006,0.0
170311004001,0.0
170311004002,0.0
170311004003,0.0
170311005001,0.0
170311005002,0.0
170311005003,0.0
170311005004,0.0
170311005005,0.0
170311006001,0.0
170311006002,0.0
170311006003,0.0
170311006004,0.0
170311007001,0.0
170311007002,0.0
170311007003,0.0
170311007004,0.0
170311007005,0.0
170311101001,0.0
170311101002,0.0
170311101003,0.0
170311101004,0.0
170311101005,0.0
170311102001,0.0
170311102002,0.0
170311103001,0.0
170311103002,0.0
170311103003,0.0
170311103004,0.0
170311103005,0.0
170311104001,0.0
170311104002,0.0
170311104003,0.0
170311105011,0.0
170311105012,0.0
170311105013,0.0
170311105014,0.0
170311105015,0.0
170311105021,0.0
170311105022,0.0
170311201001,0.0
170311201002,0.0
170311201003,0.0
170311201004,0.0
170311202001,0.0
170311202002,0.0
170311202003,0.0
170311202004,0.0
170311203001,0.0
170311203002,0.0
170311203003,0.0
170311203004,0.0
170311203005,0.0
170311203006,0.0
170311204001,0.0
170311204002,0.0
170311204003,0.0
170311301001,0.0
170311301002,0.0
170311301003,0.0
170311302001,0.0
170311303001,0.0
170311303002,0.0
170311303003,0.0
170311303004,0.0
170311401001,0.0
170311401002,0.0
170311402001,0.0
170311402002,0.0
170311402003,0.0
170311403011,0.0
170311403012,0.0
170311403021,0.0
170311403022,0.0
170311403023,0.0
170311404001,0.0
170311404002,0.0
170311404003,0.0
170311404004,0.0
170311404005,0.0
170311405001,0.0
170311405002,0.0
170311405003,0.0
170311406011,0.0
170311406021,0.0
170311406022,1.0
170311406023,0.0
170311406024,0.0
170311407011,0.0
170311407012,0.0
170311407021,0.0
170311407022,0.0
170311407023,0.0
170311407024,0.0
170311408001,0.0
170311408002,0.0
170311408003,0.0
170311408004,0.0
