,entity_id,score,label_value,majority_race,poverty-rate
909,170310404021,0.0,0.0,White,1.80-9.58
914,170310404022,0.0,0.0,White,0.00-1.80
919,170310404023,0.0,0.0,None,0.00-1.80
924,170310404024,0.0,0.0,None,0.00-1.80
929,170310404025,0.0,0.0,White,9.58-22.42
934,170310406001,0.0,0.0,White,1.80-9.58
939,170310406002,0.0,0.0,White,1.80-9.58
944,170310406003,0.0,0.0,White,1.80-9.58
949,170310407001,0.0,0.0,White,9.58-22.42
954,170310407002,0.0,0.0,White,0.00-1.80
959,170310407003,0.0,0.0,White,1.80-9.58
964,170310407004,0.0,0.0,White,0.00-1.80
969,170310408001,0.0,0.0,White,0.00-1.80
974,170310408002,0.0,0.0,White,0.00-1.80
979,170310409001,0.0,0.0,White,1.80-9.58
984,170310409002,0.0,0.0,White,0.00-1.80
989,170310501001,0.0,0.0,White,0.00-1.80
994,170310501002,0.0,0.0,White,1.80-9.58
999,170310502001,0.0,0.0,White,0.00-1.80
1004,170310502002,0.0,0.0,White,0.00-1.80
1009,170310502003,0.0,0.0,White,0.00-1.80
1014,170310503001,0.0,0.0,White,9.58-22.42
1019,170310503002,0.0,0.0,White,0.00-1.80
1024,170310503003,0.0,0.0,White,0.00-1.80
1029,170310505001,0.0,0.0,White,1.80-9.58
1034,170310505002,0.0,0.0,White,0.00-1.80
1039,170310505003,0.0,0.0,White,0.00-1.80
1044,170310505004,0.0,0.0,White,0.00-1.80
1049,170310505005,0.0,0.0,White,0.00-1.80
1054,170310506001,0.0,0.0,White,0.00-1.80
1059,170310506002,0.0,0.0,White,1.80-9.58
1064,170310507001,0.0,0.0,White,0.00-1.80
1069,170310508001,0.0,0.0,White,1.80-9.58
1074,170310509001,0.0,0.0,White,1.80-9.58
1079,170310510001,0.0,0.0,White,1.80-9.58
1084,170310511001,0.0,0.0,White,1.80-9.58
1089,170310512001,0.0,0.0,White,1.80-9.58
1094,170310512002,0.0,0.0,White,0.00-1.80
1099,170310513001,0.0,0.0,White,0.00-1.80
1104,170310513002,0.0,0.0,White,1.80-9.58
1109,170310514001,0.0,0.0,White,1.80-9.58
1114,170310514002,0.0,0.0,White,1.80-9.58
1119,170310601001,0.0,0.0,White,0.00-1.80
1124,170310601002,0.0,0.0,White,0.00-1.80
1129,170310601003,0.0,0.0,White,9.58-22.42
1134,170310602001,0.0,0.0,White,1.80-9.58
1139,170310602002,0.0,0.0,White,22.42-100.00
1144,170310603001,0.0,0.0,White,1.80-9.58
1149,170310603002,0.0,0.0,White,0.00-1.80
1154,170310604001,0.0,0.0,White,0.00-1.80
1159,170310604002,0.0,0.0,White,0.00-1.80
1164,170310604003,0.0,0.0,White,0.00-1.80
1169,170310605001,0.0,0.0,White,9.58-22.42
1174,170310608001,0.0,0.0,White,0.00-1.80
1179,170310608002,0.0,0.0,None,0.00-1.80
1184,170310608003,0.0,1.0,White,0.00-1.80
1189,170310609001,0.0,0.0,White,0.00-1.80
1194,170310609002,0.0,0.0,None,0.00-1.80
1199,170310609003,0.0,0.0,White,0.00-1.80
1204,170310609004,0.0,0.0,White,0.00-1.80
1209,170310609005,0.0,0.0,None,0.00-1.80
1214,170310610001,0.0,0.0,White,1.80-9.58
1219,170310611001,0.0,0.0,White,1.80-9.58
1224,170310612001,0.0,0.0,White,0.00-1.80
1229,170310615001,0.0,0.0,White,1.80-9.58
1234,170310618001,0.0,0.0,White,9.58-22.42
1239,170310619011,0.0,0.0,White,0.00-1.80
1244,170310619012,0.0,0.0,White,0.00-1.80
1249,170310619013,0.0,0.0,White,0.00-1.80
1254,170310619014,0.0,0.0,White,0.00-1.80
1259,170310619021,0.0,0.0,White,0.00-1.80
1264,170310619022,0.0,0.0,White,0.00-1.80
1269,170310619023,0.0,0.0,White,0.00-1.80
1274,170310619024,0.0,0.0,None,0.00-1.80
1279,170310620001,0.0,0.0,White,1.80-9.58
1284,170310620002,0.0,0.0,White,0.00-1.80
1289,170310621001,0.0,0.0,White,0.00-1.80
1294,170310621002,0.0,0.0,White,0.00-1.80
1299,170310621003,0.0,0.0,White,1.80-9.58
1304,170310622001,0.0,0.0,White,1.80-9.58
1309,170310622002,0.0,0.0,White,0.00-1.80
1314,170310623001,0.0,0.0,White,0.00-1.80
1319,170310624001,0.0,0.0,White,0.00-1.80
1324,170310625001,0.0,0.0,White,1.80-9.58
1329,170310626001,0.0,0.0,White,1.80-9.58
1334,170310627001,0.0,0.0,White,0.00-1.80
1339,170310627002,0.0,0.0,White,0.00-1.80
1344,170310627003,0.0,0.0,White,1.80-9.58
1349,170310628001,0.0,0.0,White,0.00-1.80
1354,170310628002,0.0,0.0,White,1.80-9.58
1359,170310628003,0.0,0.0,White,0.00-1.80
1364,170310629001,0.0,0.0,White,0.00-1.80
